"MSRB Number","Firm Name","EBS ID"
A5767,"PREFERRED CLIENT GROUP, INC.",PFCG
A5374,"KR SECURITIES, LLC",KRCO
A6658,"JOSEPH GRACE",ETSB
A1893,"MML INVESTORS SERVICES, LLC",NESS
A7327,"STONEX FINANCIAL INC.",SALI
A7114,"COHEN & COMPANY SECURITIES, LLC",JVBG
A1852,"HOME FINANCIAL SERVICES, INC.",VOLS
A2966,"RICE FINANCIAL PRODUCTS COMPANY",RICJ
A3333,"R.M. DUNCAN SECURITIES, INC.",DCAN
A5560,"M HOLDINGS SECURITIES, INC.",MHFI
A1290,"HILLTOP SECURITIES INC.",SWST
A6429,"CANTOR FITZGERALD & CO.",CFCS
A6576,"GAR WOOD SECURITIES, LLC",GRWD
A7608,"PWA SECURITIES, LLC",PWAS
A0236,"CAPITAL INSTITUTIONAL SERVICES, INC.",CIST
A7075,"ARBOR RESEARCH & TRADING, LLC",CLRT
A4684,"KILEY PARTNERS, INC.",KCIX
A1418,"WALL STREET ACCESS",WABR
A4887,"SENTINEL BROKERS COMPANY",SEBR
A6574,"D. BORAL CAPITAL",DBCH
A2110,"AMERITAS INVESTMENT COMPANY, LLC",BLNI
A2790,"ROBERTS & RYAN INC.",RRII
A6419,"TP ICAP GLOBAL MARKETS AMERICAS LLC",GARC
A6029,"GVC CAPITAL LLC",BCPI
A0125,"SANFORD C BERNSTEIN & CO.,LLC",SBER
A0039,"AMUNI FINANCIAL INC.",AMMS
A0529,"THE FRAZER LANIER COMPANY, INCORPORATED",FLCO
A6343,"INSIGNEO SECURITIES , LLC",HBCO
A6912,"INTERACTIVE BROKERS LLC",IBKR
A7519,"BOFA SECURITIES, INC.",PRST
A7463,"HALO SECURITIES, LLC",HALO
A5948,"AXOS CLEARING LLC",AXCL
A2690,"EQUITABLE ADVISORS LLC.",AXAA
A7474,"QUINT CAPITAL CORPORATION",QCAP
A5405,"WORLD CHOICE SECURITIES, INC.",WCSF
A4167,"AMERICAN HERITAGE SECS., INC.",AHSI
A6253,"LEO BROKERAGE, LLC",BFTG
A7521,"ROCKEFELLER FINANCIAL LLC",ROCK
A5045,"A.G.P. / ALLIANCE GLOBAL PARTNERS CORP.",ALGP
A7480,"ICE BONDS SECURITIES CORPORATION",CTSC
A3989,"COKER & PALMER, INC.",COKE
A5671,"FLAGSTAR ADVISORS",SSGC
A2421,"MACK INVESTMENT SECURITIES, INC",MINV
A1942,"FIRST BANKERS' BANC SECURITIES, INC.",FLOU
A5706,"ALLSTATE FINANCIAL SVCS., LLC",LAGI
A2197,"WILSON PARKER CONNALLY STEPHENSON INC",GPCG
A4752,"LEIGH BALDWIN & CO., LLC",LEBO
A6564,"CIG SECURITIES, INC.",CIGC
A2857,"MARC J. LANE AND COMPANY",LANE
A7162,"POTOMAC INVESTMENT CO",POTO
A7551,"AE FINANCIAL SERVICES, LLC",AEFS
A7298,"FOUR POINTS CAPITAL PARTNERS LLC",AFSS
A6530,"CRESCENT SECURITIES GROUP, INC.",CAGI
A5689,"TRIDENT PARTNERS LTD.",TRIP
A1231,"ROTHSCHILD INVESTMENT LLC",RTHS
A5383,"PARK AVENUE SECURITIES",PASC
A0785,"JANNEY MONTGOMERY SCOTT LLC",JANY
A3698,"JW KORTH & COMPANY",KRTH
A6429,"CANTOR FITZGERALD & CO.",CANT
A7421,"WHARTON MIDMARKET SECURITIES INC.",WMMS
A6576,"GAR WOOD SECURITIES, LLC",GARW
A7269,"RAYMOND JAMES (USA) LTD.",RAJC
A3326,"MONEY CONCEPTS CAPITAL CORP",MNCC
A7654,"LIGHTSPEED FINANCIAL SERVICES GROUP LLC",LSPS
A2043,"BERNARDI SECURITIES, INC.",BNDI
A4831,"CELADON FINANCIAL GROUP, LLC",CPRM
A0117,"INTERCOASTAL CAPITAL MARKETS INC.",ICMI
A6522,"INVERNESS SECURITIES, LLC",TCGA
A6548,"DAWSON JAMES SECURITIES, INC.",DJSA
A7307,"SNOWDEN ACCOUNT SERVICES LLC",SNWS
A7007,"MORGAN STANLEY SMITH BARNEY LLC",DEAN
A7517,"EMPOWER FINANCIAL SERVICES, INC.",GWFS
A7662,"QUINCY WELLS CAPITAL, LLC",QWCA
A1963,"LPL ENTERPRISE, LLC",LPLE
A4154,"OFG FINANCIAL SERVICES, INC.",OFGF
A3682,"OAKWOOD CAPITAL SECURITIES, INC",GAFI
A1355,"THURSTON, SPRINGER, MILLER, HERD & TITAK, INC.",TMBI
A6968,"ALEXANDER CAPITAL, L.P.",ACLP
A6927,"XML SECURITIES, LLC",LAMA
A7579,"INSPEREX LLC",INCP
A0149,"STEWARD PARTNERS INVESTMENT SOLUTIONS, LLC",ATKC
A0976,"MERRILL LYNCH, PIERCE, FENNER",MLWM
A3490,"AEGIS CAPITAL CORP.",AGCP
A6759,"BEAR CREEK SECURITIES, LLC",BCRK
A0399,"PERSHING LLC",PERS
A6145,"FIRST COMMAND BROKERAGE SERVICES, INC.",FCFS
A7553,"HOOPOE CAPITAL MARKETS, LLC",HCMX
A6446,"AMERICAN TRUST INVESTMENT SERVICES",AMER
A7479,"BANCROFT CAPITAL, LLC",CROF
A4831,"CELADON FINANCIAL GROUP, LLC",SPLN
A6097,"PORTFOLIO RESOURCES GROUP, INC.",PRGI
A7606,"ELEQUIN SECURITIES, LLC",ELQN
A4071,"L.J. HART & COMPANY",LJHT
A5796,"WORLD CAPITAL BROKERAGE, INC.",AMRG
A0081,"THE BAKER GROUP LP",BAKR
A1765,"BERTHEL FISHER & CO.FIN.SERV.",BFCF
A5397,"WASHINGTON SECURITIES CORP.",WSCC
A5797,"INSTITUTIONAL SECURITIES CORP.",ISCN
A7502,"KINGSWOOD CAPITAL PARTNERS, LLC",KNGS
A4253,"HEROLD & LANTERN INVESTMENTS, INC.",LATN
A2210,"CAPITOL SECURITIES MANAGEMENT, INC.",CSCV
A0693,"HUNTINGTON SECURITIES, INC",HUTC
A6103,"NATIONWIDE PLANNING ASSOCIATES, INC",NPAI
A6446,"AMERICAN TRUST INVESTMENT SERVICES",ATIS
A6577,"AOS, INC.",BLOC
A2966,"RICE FINANCIAL PRODUCTS COMPANY",APEX
A3089,"MIDDLEGATE SECURITIES INC",MDGS
A2790,"ROBERTS & RYAN INC.",HONR
A5088,"LIEBLONG & ASSOCIATES, INC.",LASI
A6822,"CARY STREET PARTNERS LLC",CARY
A7594,"GREAT POINT CAPITAL, LLC",GPCA
A0797,"JOE JOLLY & CO., INC.",JJCO
A6739,"SUSQUEHANNA FINANCIAL GROUP, LLLP",SUFI
A1165,"SAMUEL A. RAMIREZ & COMPANY INC.",RREZ
A2014,"REGAL SECURITIES, INC.",RGLS
A5991,"SCOTTSDALE CAPITAL ADVISORS",SCAI
A6690,"INTEGRAL FINANCIAL LLC",INFI
A6991,"ROCKFLEET FINANCIAL SERVICES, INC.",RCKF
A7554,"BCI SECURITIES INC",BCIB
A4908,"DMK ADVISOR GROUP, INC",SAKL
A3290,"DOMINARI SECURITIES LLC",DSEC
A5964,"CORRELL CO. INVESTMENT SERVICES CORP.",CCIS
A3229,"HARBOUR INVESTMENTS, INC.",HARB
A5709,"ASCENSUS BROKER DEALER SERVICES, LLC",UPMF
A4089,"INTERNATIONAL ASSETS ADVISORY, LLC",INTA
A0198,"BUELL SECURITIES CORP.",BUEL
A5073,"THE OAK RIDGE FINANCIAL SERVICES GROUP, INC.",OAKR
A7467,"ANOS CAPITAL, LLC.",ANOS
A7645,"TOWER PRINCIPAL MARKETS LLC",TPMG
A0538,"TD PRIME SERVICES LLC",AFCO
A7440,"FLOW TRADERS U.S., LLC",FLTU
A6622,"SWBC INVESTMENT SERVICES, LLC",SWBC
A6144,"WESTPARK CAPITAL, INC.",WPCC
A1330,"SF INVESTMENTS, INC.",SFPS
A0117,"INTERCOASTAL CAPITAL MARKETS INC.",ICMB
A7669,"PIONEER CAPITAL MARKETS, INC",PCMI
A7327,"STONEX FINANCIAL INC.",NCPI
A6680,"BHK SECURITIES, LLC",BHKS
A5489,"POLAR INVESTMENT COUNSEL, INC.",PICI
A5760,"LIFEMARK SECURITIES CORP",LMAR
A2206,"CBIZ FINANCIAL SOLUTIONS, INC.",BGSG
A7353,"TD FINANCIAL PRODUCTS LLC",TDMP
A5189,"FIRST CITIZENS INVESTOR SERVICES, INC.",FCSC
A7350,"SAFRA SECURITIES LLC",SSCO
A7202,"CONCORDE INVESTMENT SERVICES LLC",CCRD
A0489,"FMSBONDS, INC.",MIAM
A5940,"SEAPORT GLOBAL SECURITIES LLC",SPGS
A5434,"ADVISORS ASSET MANAGEMENT, INC.",FISA
A4178,"LINCOLN INVESTMENT PLANNING, LLC",LNCL
A0775,"BC ZIEGLER AND COMPANY",ZGLR
A0717,"RAYMOND JAMES FINANCIAL SERVICES, INC.",RJFS
A4481,"PERFORMANCE TRUST CAPITAL PARTNERS, LLC",BBNI
A4144,"PRINCIPAL SECURITIES, INC.",PFSM
A3246,"COMMONWEALTH FINANCIAL NETWORK",CMMW
A4912,"PMA SECURITIES, LLC",PMAS
A1963,"LPL ENTERPRISE, LLC",HVST
A7179,"LINCOLN DOUGLAS INVESTMENTS, LLC",LDIL
A0606,"INDEPENDENT FINANCIAL GROUP, LLC",HSAI
A1965,"NEWEDGE SECURITIES, LLC",MACC
A4831,"CELADON FINANCIAL GROUP, LLC",CFGN
A6652,"THRASHER AND CHAMBERS, INC",TRSH
A5574,"MAPLEWOOD INVESTMENTS, INC.",MPLW
A3696,"AXIOM CAPITAL MANAGEMENT INC,",AXIO
A4978,"J ALDEN ASSOCIATES",ALDN
A6737,"NAVY FEDERAL INVESTMENT SERVICES LLC",NFBS
A7529,"OCEAN FINANCIAL SERVICES, LLC",OCEA
A6238,"RUSSELL INVESTMENTS IMPLEMENTATION SERVICES, LLC.",RSSE
A4990,"THE JEFFREY MATTHEWS FINANCIAL GROUP, L.L.C.",JEFM
A2960,"WESTMINSTER FIN'L. SECS., INC.",WFFS
A0487,"FIRST KENTUCKY SECURITIES CORPORATION.",FKSC
A7013,"BOLTON SECURITIES",BLTN
A0763,"WULFF, HANSEN & COMPANY",WHCO
A4455,"FIRST HEARTLAND CAPITAL INC",FHCI
A5441,"WORLD EQUITY GROUP, INC.",WEGE
A6852,"EMPIRE ASSET MANAGEMENT COMPANY",EAMG
A5864,"NORTHWESTERN MUTUAL INVMT SVCS",NWML
A7507,"NEST INVESTMENTS BD LLC",NEST
A4978,"J ALDEN ASSOCIATES",AFGT
A6910,"ARETE WEALTH MANAGEMENT, LLC",KEYS
A0862,"RF LAFFERTY AND CO., INC.",LAFC
A4089,"INTERNATIONAL ASSETS ADVISORY, LLC",INTX
A6910,"ARETE WEALTH MANAGEMENT, LLC",KAWM
A1218,"ROOSEVELT & CROSS INCORPORATED",RCRS
A7441,"STONECREST CAPITAL MARKETS, INC.",SCMI
A1487,"CITIGROUP GLOBAL MARKETS INC.",CGWM
A7520,"MOUNTAINSIDE SECURITIES LLC",MTNS
A7319,"MINISTRY PARTNERS SECURITIES, LLC",MINP
A5223,"VALMARK SECURITIES, INC.",VALM
A7327,"STONEX FINANCIAL INC.",INTL
A6158,"AMERICAN CENTURY INVESTMENT SERVICES, INC.",TWEN
A2055,"SELKIRK INVESTMENTS, INC.",EMPR
A6091,"FMN CAPITAL CORPORATION",FMNC
A5773,"TRADEWEB DIRECT LLC",BDTR
A7609,"ATOMIC BROKERAGE LLC",AVST
A2389,"MCCLURG CAPITAL CORPORATION",MCCL
A7515,"OLD MISSION CAPITAL LLC",OLDM
A1062,"NUVEEN SECURITIES, LLC",NVEN
A4066,"FIRST BROKERS SECURITIES, LLC",FATS
A0488,"FIRST MANHATTAN SECURITIES LLC",FMCO
A6419,"TP ICAP GLOBAL MARKETS AMERICAS LLC",CMCX
A4545,"BNY MELLON SECURITIES CORPORATION",DRSC
A3355,"CAPITAL INVESTMENT GROUP, INC.",CAPG
A6973,"NORTH SOUTH CAPITAL, LLC",NOSO
A3962,"ZIONS DIRECT, INC.",ZION
A6901,"SPARTAN CAPITAL SECURITIES, LLC",SPRC
A7456,"VIEWTRADE SECURITIES, INC.",VTDT
A6486,"FBL MARKETING SERVICES, LLC",FBLM
A3020,"COORDINATED CAPITAL SECURITIES",COOR
A6874,"WILMINGTON CAPITAL SECURITIES, LLC",WCSC
A1487,"CITIGROUP GLOBAL MARKETS INC.",SALB
A4744,"NBC SECURITIES, INC.",NBCS
A3649,"PEACHCAP SECURITIES, INC.",PCCA
A7244,"CABOT LODGE SECURITIES LLC",CLSC
A6421,"MONARCH CAPITAL GROUP, LLC",MNRC
A6337,"FIRST BALLANTYNE, LLC",FBLT
A5652,"VALIC FINANCIAL ADVISORS, INC",AGFA
A5639,"THE ROCKWELL FINANCIAL GROUP INC,",RFRC
B0069,"COMMERCE BANK",CBKC
A7317,"CU INVESTMENT SOLUTIONS LLC",UCCM
A0563,"HSBC SECURITIES (USA) INC.",HSBK
A6901,"SPARTAN CAPITAL SECURITIES, LLC",SPCS
A5560,"M HOLDINGS SECURITIES, INC.",MHSI
A3914,"STIFEL INDEPENDENT ADVISORS, LLC",CSAI
A6117,"PARADIGM EQUITIES, INC.",MEAF
A2689,"STONEX SECURITIES INC.",ITCC
A3899,"LANDOLT SECURITIES, INC.",LDOT
A6730,"PAPAMARKOU WELLNER & COMPANY, INC.",PAPA
A7570,"SOFI SECURITIES, LLC",SOFI
A7541,"ALPHALEDGER MARKETS, INC",IRIS
A6587,"SUNBELT SECURITIES, INC.",SBLT
A1070,"FIFTH THIRD SECURITIES, INC.",FTSR
A7505,"INNOVATION PARTNERS LLC",PSUT
A3346,"SCHLITT INVESTOR SERVICES, INC",SISI
A7605,"NORTLOV SECURITIES, LLC",NLOV
