"MSRB Number","Firm Name","EBS ID"
A7305,"JANE STREET CAPITAL, LLC",JASC
A4652,"MISCHLER FINANCIAL GROUP, INC.",MICH
A0877,"B. RILEY WEALTH MANAGEMENT",WNDR
A4803,"CITIZENS SECURITIES, INC.",CISV
A5498,"B. B. GRAHAM & CO., INC.",BBGC
A0747,&PARTNERS,APRT
A0980,"MESIROW FINANCIAL INC",MESF
A6006,"AMERICAN CAPITAL PARTNERS, LLC",ACPL
A6495,"PNC WEALTH MANAGEMENT LLC",PNCC
A1401,"INVESCO CAPITAL MARKETS, INC.",VKMI
A4542,"HARGER & COMPANY, INC.",HRGR
A5148,"IMPERIAL CAPITAL, LLC",IMPC
A5799,"PLANMEMBER SECURITIES CORP.",IRMD
A6580,"HALLIDAY FINANCIAL, LLC",HRCS
A3317,"BUCKMAN, BUCKMAN & REID, INC.",BKRT
A4467,"US STERLING SECURITIES, INC.",USSI
A4258,"RBC CAPITAL MARKETS, LLC",RBCD
A0463,"FIDELITY BROKERAGE SERVICES LLC",FIBS
A7644,"BLUEFIN CAPITAL MANAGEMENT, LLC",BLTD
A7494,"CLEAR STREET, LLC",CLST
A6913,"CAPITAL CITY SECURITIES, LLC",CAPC
A4113,"ORIENTAL FINANCIAL SERVICES LLC",ORTL
A5189,"FIRST CITIZENS INVESTOR SERVICES, INC.",FCIT
A4369,"THE STRATEGIC ALLIANCE CORPORATION",TSAC
A5294,"ARLINGTON SECURITIES INC.",ASIX
A4652,"MISCHLER FINANCIAL GROUP, INC.",MISL
A6862,"SPIRE SECURITIES, LLC",SPLC
A2822,"INTERNATIONAL RESEARCH SEC. INC",IRSI
A4274,"KA ASSOCIATES, LLC",KALA
A0854,"KUYKENDALL & SCHNEIDER, INC.",KUYK
A5074,"SIEBERT WILLIAMS SHANK & CO., LLC",WLMS
A7381,"ARCADIA SECURITIES LLC",ARCD
A6982,"DAVIS SECURITIES LLC",DAVS
A5125,"FLORIDA ATLANTIC SECS. CORP.",FLAT
B0019,"BANK OF AMERICA, NA  / MSD",NBNA
A6495,"PNC WEALTH MANAGEMENT LLC",NATY
