Firm Name,MSRB ID,State,Registrant Type
TD Financial Products LLC,A7353,IL,Broker Dealer
"Brown & Brown Securities, Inc.",A2125,TX,Broker Dealer
"Ocean Financial Services, LLC",A7529,FL,Broker Dealer
"RW Smith & Associates, LLC",A2246,NJ,Broker Dealer
"Trustmont Financial Group, Inc.",A3315,PA,Broker Dealer
"Strong Capital Markets, LLC",A7618,CT,Broker Dealer
Arthur W Wood Company,A0758,MA,Broker Dealer
"White Mountain Capital, LLC",A5676,FL,Broker Dealer
"Register Financial Associates, Inc.",A4320,GA,Broker Dealer
"First Dallas Securities, Inc.",A3613,TX,Broker Dealer
"Bruce A. Lefavi Securities, Inc.",A5860,UT,Broker Dealer
John Hancock Distributors LLC,A5840,MA,Broker Dealer
"PMA Securities, LLC",A4912,IL,Broker Dealer/Municipal Advisor
"American Global Wealth Management, Inc.",A2605,GA,Broker Dealer
"Ultimus Fund Distributors, LLC",A7640,OH,Broker Dealer
Morgan Stanley Smith Barney LLC,A7007,NY,Broker Dealer
"Chickasaw Securities, LLC",A6485,TN,Broker Dealer
Momentum Independent Network Inc.,A2447,TX,Broker Dealer
"Nelson Ivest Brokerage Services, Inc.",A6178,FL,Broker Dealer
"American Capital Partners, LLC",A6006,NY,Broker Dealer
Moment Markets LLC,A7629,NY,Broker Dealer
Trident Partners Ltd.,A5689,NY,Broker Dealer
"Imperial Capital, LLC",A5148,CA,Broker Dealer
"ICE Securities Execution & Clearing, LLC",A7536,NY,Broker Dealer
"US Bancorp Investments, Inc.",A3500,MN,Broker Dealer
"Invesco Capital Markets, Inc.",A1401,TX,Broker Dealer
VISIONS ANALYSIS LLC,A7466,NY,Broker Dealer
"Glen Eagle Wealth, LLC",A6432,NJ,Broker Dealer
Supreme Alliance LLC,A7633,NC,Broker Dealer
McNally Financial Services Corporation,A6180,TX,Broker Dealer
"AllianceBernstein Investments, Inc.",A5694,TN,Broker Dealer
Equitable Advisors LLC.,A2690,NY,Broker Dealer
"TIAA -CREF Indivdl Inst'l Svcs, LLC",A5341,NC,Broker Dealer
"Security Capital Brokerage, Inc.",A7241,GA,Broker Dealer
"BofA Securities, Inc.",A7519,NY,Broker Dealer
Great Pacific Securities,A4303,CA,Broker Dealer
South State Bank NA,B0470,GA,Bank Dealer
"Financial Sense Securities, Inc.",A5582,CA,Broker Dealer
Arkadios Capital,A7471,GA,Broker Dealer
Marc J. Lane and Company,A2857,IL,Broker Dealer
"Brean Capital, LLC.",A3814,NY,Broker Dealer
KCOE Capital  LLC,A6383,WA,Broker Dealer
"Moors & Cabot, Inc.",A1007,MA,Broker Dealer/Municipal Advisor
"NatAlliance Securities, LLC",A5959,TX,Broker Dealer
"StoneCastle Securities, LLC",A7042,NY,Broker Dealer
StoneX Securities Inc.,A2689,AL,Broker Dealer
CAVU Securities LLC,A7121,NY,Broker Dealer
"Gregory J Schwartz & Co., Inc.",A1272,MI,Broker Dealer
"Wealth Enhancement Brokerage Services, LLC",A6534,MN,Broker Dealer
"Spire Securities, LLC",A6862,VA,Broker Dealer
"Thoroughbred Financial Services, LLC",A5497,TN,Broker Dealer
"World Investments, LLC",A3684,NJ,Broker Dealer
Harbor Investment Advisory LLC,A7043,MD,Broker Dealer
"Stifel, Nicolaus & Company,Inc",A1313,MO,Broker Dealer/Municipal Advisor
A.G.P. / Alliance Global Partners Corp.,A5045,CT,Broker Dealer
"Mack Investment Securities, Inc",A2421,IL,Broker Dealer
"Valmark Securities, Inc.",A5223,OH,Broker Dealer
CGA Securities LLC,A7387,MD,Broker Dealer
&Partners,A0747,TN,Broker Dealer/Municipal Advisor
Quoin Capital LLC,A6847,PA,Broker Dealer
Aon Securities LLC,A6138,IL,Broker Dealer
"Syndicated Capital, Inc.",A4458,CA,Broker Dealer
"Vanderbilt Securities, LLC",A1194,NY,Broker Dealer
SMH CAPITAL INVESTMENTS LLC,A3412,TX,Broker Dealer
"Cardinal Investments, Inc.",A4529,IL,Broker Dealer
"Private Portfolio of San Diego, Inc.",A7087,CA,Broker Dealer
"Preferred Client Group, Inc.",A5767,TX,Broker Dealer
Essex Securities LLC,A6248,NJ,Broker Dealer
"LRB Public Finance Advisors, Inc.",A4774,UT,Broker Dealer/Municipal Advisor
"PTS Brokerage, LLC",A6234,NJ,Broker Dealer
"Home Financial Services, Inc.",A1852,TN,Broker Dealer
"R. Seelaus & Co., LLC",A1887,NJ,Broker Dealer
"VALIC Financial Advisors, Inc",A5652,TX,Broker Dealer
"JOSEPH STONE CAPITAL, LLC",A7417,NY,Broker Dealer
Flagstar Advisors,A5671,NY,Broker Dealer
"First Bankers' Banc Securities, Inc.",A1942,MO,Broker Dealer
"Mutual Securities, Inc.",A1806,CA,Broker Dealer
"Hartford Funds Distributors, LLC",A7266,PA,Broker Dealer
Madison Avenue Securities,A6703,CA,Broker Dealer
"World Capital Brokerage, Inc.",A5796,CO,Broker Dealer
"Cetera Advisors, LLC",A2021,CO,Broker Dealer
"Capital Investment Group, Inc.",A3355,NC,Broker Dealer
"Tandem Securities, Inc.",A6988,KS,Broker Dealer
"Hamilton Cavanaugh Investment Brokers, Inc.",A6787,NY,Broker Dealer
AMERICAN ENTERPRISE INVESTMENT SERVICES INC.,A3666,MN,Broker Dealer
"D.H. Hill Securities, LLLP",A6768,TX,Broker Dealer
AW Securities,A6871,CA,Broker Dealer
"Nortlov Securities, LLC",A7605,GA,Broker Dealer
"Samco Capital Markets, Inc.",A6695,TX,Broker Dealer/Municipal Advisor
"BCG Securities, Inc.",A0085,NJ,Broker Dealer
"Isaak Bond Investments, Inc.",A0727,CO,Broker Dealer
"Perryman Securities, Inc.",A5989,TX,Broker Dealer
"Oberweis Securities, Inc.",A5021,IL,Broker Dealer
"Martin Nelson & Co., Inc.",A1037,WA,Broker Dealer
"Hazlett, Burt & Watson, Inc.",A0632,WV,Broker Dealer
"Transamerica Financial Advisors, LLC",A3831,IA,Broker Dealer
"T.R. Winston & Company, LLC",A1573,NJ,Broker Dealer
AQUAS Financial LLC,A7590,TX,Broker Dealer
American Trust Investment Services,A6446,CA,Broker Dealer
Colorado Financial Service Corp.,A6750,CO,Broker Dealer/Municipal Advisor
"UMB Bank, n.a.",B0286,MO,Bank Dealer
"Higgins Capital Management, Inc.",A5061,CA,Broker Dealer
Cetera Financial Specialists LLC,A1898,IL,Broker Dealer
Packerland Brokerage Services,A5843,WI,Broker Dealer
"Integrity Alliance, LLC",A6776,IA,Broker Dealer
MCG Securities LLC,A7264,PA,Broker Dealer
Old Mission Capital LLC,A7515,IL,Broker Dealer
ARCADIA SECURITIES LLC,A7381,NY,Broker Dealer
Stephens Inc.,A1303,AR,Broker Dealer/Municipal Advisor
"Morgan Wilshire Securities, Inc.",A6406,NY,Broker Dealer
"Hornor, Townsend & Kent, LLC",A1729,PA,Broker Dealer
"Girard Investment Services, LLC",A5468,PA,Broker Dealer
Northwestern Mutual Invmt Svcs,A5864,WI,Broker Dealer
"PKS Securities, Inc.",A5567,NY,Broker Dealer
E. E. Powell & Company,A1137,PA,Broker Dealer
ICE Bonds Securities Corporation,A7480,NY,Broker Dealer
UBS Financial Services,A1091,NY,Broker Dealer
Brighton Securities Corp.,A0174,NY,Broker Dealer
"Darwood Associates, Inc.",A0360,NJ,Broker Dealer
"Wells Fargo Advisors Financial Network, LLC",A2353,MO,Broker Dealer
Trumid Financial LLC,A7503,NY,Broker Dealer
Lightspeed Financial Services Group LLC,A7654,NJ,Broker Dealer
O.N. Equity Sales Company,A3378,OH,Broker Dealer
"TIB, N.A.",B0270,TX,Bank Dealer
"JD Seibert & Company, Inc.",A1287,OH,Broker Dealer
Tradeweb Direct LLC,A5773,NY,Broker Dealer
"The Frazer Lanier Company, Incorporated",A0529,AL,Broker Dealer
Neuberger Berman BD LLC,A1039,NY,Broker Dealer
USCA Securities LLC,A5571,TX,Broker Dealer
L.J. Hart & Company,A4071,MO,Broker Dealer/Municipal Advisor
"Benjamin Securities, Inc.",A0118,FL,Broker Dealer
TD Private Client Wealth LLC,A7285,NY,Broker Dealer
Key Investment Services LLC,A6708,OH,Broker Dealer
"Osaic Services, Inc.",A6645,AZ,Broker Dealer
"Realta Equities, Inc.",A3303,DE,Broker Dealer
Jefferies LLC,A5232,NY,Broker Dealer
"MWA Financial Services, Inc.",A5820,IL,Broker Dealer
"GRB Financial, LLC",A6560,TX,Broker Dealer
"Leigh Baldwin & Co., LLC",A4752,NY,Broker Dealer
Jacques Financial LLC,A5962,MD,Broker Dealer
DFPG Investments LLC,A7339,UT,Broker Dealer
First Liberties Financial,A1877,FL,Broker Dealer
"Securities Management Research, Inc.",A6288,IA,Broker Dealer
United First Partners LLC,A7547,NY,Broker Dealer
PlanMember Securities Corp.,A5799,CA,Broker Dealer
"Oakwood Capital Securities, Inc",A3682,MN,Broker Dealer
"Liberty Partners Financial Services, LLC",A6581,NC,Broker Dealer
U.S. Bank Municipal Products Group,B0475,NY,Bank Dealer
"Federated Securities, Inc.",A5351,NY,Broker Dealer
"Smith, Brown and Groover, Inc.",A0193,GA,Broker Dealer
"Central States Capital Markets, LLC",A7140,KS,Broker Dealer
"Pruco Securities, LLC",A5286,NJ,Broker Dealer
"JBS Liberty Securities, Inc.",A6925,NC,Broker Dealer
"Empower Financial Services, Inc.",A7517,CO,Broker Dealer
Raymond James (USA) Ltd.,A7269,BC,Broker Dealer
TradeStation Securities,A4971,FL,Broker Dealer
"GPWA, LLC",A7555,TN,Broker Dealer
"TradeUP Securities, Inc.",A2770,NY,Broker Dealer
"ESL Investment Services, LLC",A6751,NY,Broker Dealer
A.Bridge-Realvest Securities Corp.,A4892,NJ,Broker Dealer/Municipal Advisor
"First Ballantyne, LLC",A6337,NC,Broker Dealer
"SumRidge Partners, LLC",A7126,NJ,Broker Dealer
BrokerageSelect,A6990,NY,Broker Dealer
"ATIS, Inc.",A6984,IN,Broker Dealer
"Grodsky Associates, Inc.",A3985,NJ,Broker Dealer
"Global Financial Services, LLC",A4446,TX,Broker Dealer
"Investment Planners, Inc.",A5065,IL,Broker Dealer
"Quincy Cass Associates, Inc.",A1157,CA,Broker Dealer
Colliers Securities LLC,A1329,MN,Broker Dealer/Municipal Advisor
Alexander Investment Services Co.,A6379,KY,Broker Dealer
"Halo Securities, LLC",A7463,IL,Broker Dealer
"DAI Securities, LLC",A7532,GA,Broker Dealer
"Guggenheim Securities, LLC",A6789,NY,Broker Dealer/Municipal Advisor
"Vestwell Securities, LLC",A7659,NY,Broker Dealer
"First Command Brokerage Services, Inc.",A6145,TX,Broker Dealer
"Capital Portfolio Management, Inc",A4008,MD,Broker Dealer
"D.B. McKenna & Co., Inc.",A6051,VT,Broker Dealer
"SKA Securities, Inc.",A6094,OH,Broker Dealer
"Valdes & Moreno, Inc.",A4637,MO,Broker Dealer
"Osaic Institutions, Inc.",A4421,CT,Broker Dealer
"PTI Securities & Futures, L.P.",A5779,IL,Broker Dealer
Hilltop Securities Inc.,A1290,TX,Broker Dealer/Municipal Advisor
Middlegate Securities Inc,A3089,NY,Broker Dealer
"Boreal Capital Securities, LLC",A7349,FL,Broker Dealer
"Capital Investment Brokerage, Inc.",A5064,NC,Broker Dealer
"Kovack Securities, Inc.",A5250,FL,Broker Dealer
IUR Securities LLC,A7623,FL,Broker Dealer
"Independence Capital Co., Inc.",A6427,OH,Broker Dealer
Marex Capital Markets Inc.,A7673,NY,Broker Dealer
"Corinthian Partners, L.L.C.",A4916,NY,Broker Dealer
Union Capital Company,A6134,AZ,Broker Dealer
"Weitzel Financial Services, Inc.",A7345,IA,Broker Dealer
"Chapin Davis, Inc.",A3840,MD,Broker Dealer
"Nuveen Securities, LLC",A1062,IL,Broker Dealer
"UMB Financial Services, Inc.",A4589,MO,Broker Dealer/Municipal Advisor
"United Brokerage Services, Inc.",A4786,WV,Broker Dealer
"Holistic Brokerage, LLC.",A5361,FL,Broker Dealer
Benchmark Securities LLC,A7242,FL,Broker Dealer
CU Investment Solutions LLC,A7317,KS,Broker Dealer
Bolton Securities,A7013,MA,Broker Dealer
Oriental Financial Services LLC,A4113,PR,Broker Dealer
"M STEVENS SECURITIES, LLC",A7621,NV,Broker Dealer
"Thrivent Investment Management, Inc.",A5034,MN,Broker Dealer
"PHX Financial, Inc.",A7227,NY,Broker Dealer
"MFR Securities, Inc",A7539,FL,Broker Dealer
Central Trust Bank,B0429,MO,Bank Dealer
"KCD Financial, Inc.",A6440,WI,Broker Dealer
Cantor Fitzgerald & Co.,A6429,NY,Broker Dealer
"Chandler Distribution Services, LLC",A7649,CA,Broker Dealer
"Farmers Financial Solutions, LLC",A5857,CA,Broker Dealer
"Buckman, Buckman & Reid, Inc.",A3317,NJ,Broker Dealer
Palmas Securities,A7583,PR,Broker Dealer
International Research Sec. Inc,A2822,TX,Broker Dealer
"JPMorgan Distribution Services, Inc.",K0403,OH,Broker Dealer
"CBIZ Financial Solutions, Inc.",A2206,OH,Broker Dealer
"Avisen Wealth Management, Inc.",A6362,CA,Broker Dealer
Piper Sandler & Co.,A1126,MN,Broker Dealer/Municipal Advisor
"CFD Investments, Inc.",A5772,IN,Broker Dealer
Apexus Capital LLC,A7449,CA,Broker Dealer
"Capital Client Group, Inc.",A5979,CA,Broker Dealer
Washington Securities Corp.,A5397,MD,Broker Dealer
"ETC Brokerage Services, LLC",A6980,TX,Broker Dealer
"FNBB Capital Markets, LLC",A6676,AL,Broker Dealer
"Arbor Research & Trading, LLC",A7075,IL,Broker Dealer
"St. Bernard Financial Services, Inc.",A4565,AR,Broker Dealer
"Selkirk Investments, Inc.",A2055,WA,Broker Dealer
VP Distributors LLC,A7578,CT,Broker Dealer
American Investors Company,A0036,CA,Broker Dealer
"William Blair & Company, L.L.C.",A0147,IL,Broker Dealer
SIGMA Financial Corporation,A4441,MI,Broker Dealer
Wedbush Securities Inc.,A1436,CA,Broker Dealer
"Principal Funds Distributor, Inc.",A7543,IA,Broker Dealer
"Schlitt Investor Services, Inc",A3346,FL,Broker Dealer
James I Black & Company,A0136,FL,Broker Dealer
"NewEdge Securities, LLC",A1965,PA,Broker Dealer
"LEVEL FOUR FINANCIAL, LLC",A3627,TX,Broker Dealer
"Allen, Mooney & Barnes Brokerage Services, LLC",A6805,GA,Broker Dealer
"The Strategic Financial Alliance, Inc.",A6415,GA,Broker Dealer
Arlington Securities Inc.,A5294,MO,Broker Dealer
"OneAmerica Securities, Inc.",A5227,IN,Broker Dealer
Oppenheimer & Co. Inc.,A0455,NY,Broker Dealer
"Feldstein Financial Group, LLC",A5859,NJ,Broker Dealer
"Honey Badger Investment Securities, LLC",A7448,CA,Broker Dealer
"Garrett Nagle & Co., Inc.",A1036,MA,Broker Dealer
"Navaid Financial Services, Inc.",A5070,NJ,Broker Dealer
FHN Financial Capital Markets,B0144,TN,Bank Dealer
"Fortress Private Ledger, LLC",A7522,NC,Broker Dealer
Vanguard Marketing Corporation,A3104,PA,Broker Dealer
C&C Trading LLC,A7658,CT,Broker Dealer
VectorGlobal WMG,A7044,FL,Broker Dealer
Barclays Capital Inc.,A6566,NY,Broker Dealer/Municipal Advisor
"Cape Securities, Inc.",A0232,GA,Broker Dealer
"KR Securities, LLC",A5374,NJ,Broker Dealer
Teckmeyer Financial Services,A4768,NE,Broker Dealer
"Brownstone Investment Group, LLC",A7236,NY,Broker Dealer
"Scott James Group, Inc.",A5740,VA,Broker Dealer
Financial Northeastern Sec.Inc,A3302,NJ,Broker Dealer
MBS Capital Markets LLC,A7132,FL,Broker Dealer
Associated Investment Services,A0277,WI,Broker Dealer
"Saturna Brokerage Services, Inc.",A2625,WA,Broker Dealer
"The Rockwell Financial Group Inc,",A5639,NY,Broker Dealer
Integral Financial LLC,A6690,CA,Broker Dealer
"Kimelman & Baird, LLC",A0835,NY,Broker Dealer
"CliftonLarsonAllen Wealth Advisors, LLC",A6282,MN,Broker Dealer
"American Independent Securities Grp,LLC",A6672,ID,Broker Dealer
"Westminster Investment Group, Inc.",A6821,PA,Broker Dealer
"TCFG Wealth Management, LLC",A7268,CA,Broker Dealer
"McLaughlin Ryder Investments, Inc.",A7120,VA,Broker Dealer
Four Points Capital Partners LLC,A7298,NJ,Broker Dealer
NewOak Capital Markets LLC,A6400,NY,Broker Dealer
J.P. Morgan Institutional Investments Inc.,K0478,NY,Broker Dealer
"ANOS Capital, LLC.",A7467,NY,Broker Dealer
"Lument Securities, LLC",A3567,OH,Broker Dealer
FMN Capital Corporation,A6091,CA,Broker Dealer
"Sanctuary Securities, Inc.",A1061,FL,Broker Dealer
United Planners'Fin.Svc.of Ame,A2873,AZ,Broker Dealer
PARK PLACE CAPITAL SECURITIES CORP.,A7664,AL,Broker Dealer
"Academy Securities, Inc.",A3858,NY,Broker Dealer
Bettinger & Leech Financial Co,A1784,NJ,Broker Dealer
"Elequin Securities, LLC",A7606,NY,Broker Dealer
"MML Investors Services, LLC",A1893,MA,Broker Dealer
"CL King and Associates, Inc.",A0836,NY,Broker Dealer
Mesirow Financial Inc,A0980,IL,Broker Dealer/Municipal Advisor
State Farm VP Management Corp.,A6386,IL,Broker Dealer
Northern Capital Securities Corporation,A4890,MA,Broker Dealer
"MFS Fund Distributors, Inc.",A5839,MA,Broker Dealer
"Brooklight Place Securities, Inc.",A2362,AZ,Broker Dealer
InspereX LLC,A7579,FL,Broker Dealer
"The Leaders Group, Inc.",A5930,NJ,Broker Dealer
PFS Investments Inc.,A5828,GA,Broker Dealer
"Buttonwood Partners, Inc.",A3743,WI,Broker Dealer
"Ministry Partners Securities, LLC",A7319,CA,Broker Dealer
"NGC Financial, LLC",A6868,NY,Broker Dealer
"Greenbrier Diversified, Inc.",A6022,CA,Broker Dealer
StoneX Financial Inc.,A7327,FL,Broker Dealer
Interactive Brokers LLC,A6912,CT,Broker Dealer
"CIG Securities, Inc.",A6564,MI,Broker Dealer
Edward Jones,A0799,MO,Broker Dealer
Institutional Securities Corp.,A5797,TX,Broker Dealer
Rockefeller Financial LLC,A7521,NY,Broker Dealer
